nuevo	nove
finlandés	finlandese
gravitacional	gravitational
ominoso	ominose
suplementario	supplementari
transfronterizo	transfrontieric
balear	balearic
bronco	aspere
infundado	infundate
exploratorio	exploratori
oloroso	odorose
primaveral	primaveral
reputado	reputate
inconveniente	inconveniente
discapacitado	handicapate
fluorescente	fluorescente
honorario	honorari
socialdemócrata	socialdemocrate
congruente	congruente
extremista	extremista
marchito	marcide
reaccionario	reactionari
cabelludo	capillute
álgido	algide
adorable	adorabile
perentorio	peremptori
presuroso	hastive
canino	canin
imprudente	imprudente
multicultural	multicultural
vehemente	vehemente
abominable	abominabile
croata	croate
yanqui	yankee
ciclista	cyclistic
incurable	incurabile
indeleble	indelibile
inmunitario	immunitari
cárnico	de carne
errante	errante
ferial	ferial
paranoico	paranoic
nupcial	nuptial
vencedor	vincente
ecuestre	equestre
persa	persa
solvente	solvente
aguerrido	aguerrite
porno	porno
pujante	vigorose
coloquial	colloquial
divorciado	divorciate
sobrante	restante
sofocante	suffocante
foral	de foro
profano	profan
circulatorio	circulatori
espinal	spinal
hogareño	domestic
instructivo	instructive
ribereño	rivieran
insolente	insolente
maloliente	malodorante
honorífico	honorific
inacabado	incomplete
movedizo	movente
austriaco	austriac
trémulo	tremule
concéntrico	concentric
escurridizo	defluente
moroso	morose
salino	salin
sociopolítico	sociopolitic
condescendiente	condescendente
dogmático	dogmatic
fitosanitario	phytosanitari
revocatorio	revocatori
románico	romanic
alocado	allocate
analfabeto	analphabete
fragmentario	fragmentari
novel	novelle
ovalado	oval
traidor	traiente
contextual	contextual
franciscano	franciscan
gustoso	gustose
holístico	holistic
identificable	identificabile
inapelable	inappellabile
sudafricano	sudafrican
atestado	attestate
culminante	culminante
elitista	elitista
bailable	dansabile
ecléctico	eclectic
impetuoso	impetuose
solícito	sollicite
intrépido	intrepide
ponderado	ponderate
señorial	seniorial
aséptico	aseptic
cervantino	cervantian
ferviente	fervente
minimalista	minimalista
preexistente	preexistente
elíptico	elliptic
escuálido	sordide
intempestivo	intempestive
irrenunciable	irrenunciabile
lumínico	luminose
meticuloso	meticulose
aciago	infauste
reconfortante	reconfortante
vaquero	vacchero
conciso	concise
hiriente	feriente
aberrante	aberrante
cojo	claude
obstétrico	obstetric
odontológico	odontologic
descolorido	incolor
vernáculo	vernacular
huesudo	ossute
marinero	mariner
multidimensional	multidimensional
pródigo	prodige
escabroso	scabrose
hípico	hippic
pícaro	picaresc
taxonómico	taxonomic
agridulce	acridulce
decimal	decimal
irreverente	irreverente
cándido	candite
ostentoso	ostentatori
adhesivo	adhesive
divergente	divergente
emisor	emissor
excelso	excelse
humanístico	humanistic
frustrante	frustrante
inoxidable	inoxydabile
insensato	insensate
insípido	insipide
somero	superficial
feudal	feudal
hipertenso	hypertense
altruista	altruista
inquebrantable	infrangibile
intergubernamental	intergovernamental
abismal	abysmal
budista	buddista
impulsivo	impulsive
inflexible	inflexibile
regordete	truncate
satánico	satanic
prospectivo	prospective
venoso	venose
cremoso	cremose
estruendoso	strepitose
gentil	gentil
adusto	aduste
huidizo	fugace
impávido	impavide
inalterable	inalterabile
pueril	pueril
torácico	thoracic
desechable	rejectabile
nato	nate
pormenorizado	detaliate
sesgado	biaisate
desprotegido	improtegite
brujo	mage
erudito	erudite
indicativo	indicative
jovial	jovial
sediento	assetate
desdichado	infortunate
diligente	diligente
peinado	pectinate
insensible	insensibile
esquemático	schematic
estrepitoso	strepitose
manejable	maneabile
necio	nescie
chistoso	humorose
dactilar	digital
ejecutor	executante
pluvial	pluvial
sellado	sigillate
caduco	caduc
esperable	sperabile
izquierdista	sinistrista
monárquico	monarchic
mayorista	grossista
observable	observabile
virreinal	viceregal
agreste	agreste
alpino	alpin
historiográfico	historiographic
afectado	affectate
relajante	relaxante
tarifario	tarifari
comarcal	regional
autosuficiente	autosufficiente
privativo	privative
apabullante	intimidante
esplendoroso	splendente
sexista	sexista
zonal	zonal
bochornoso	suffocante
inmemorial	immemorial
jesuita	jesuita
naturalista	naturalista
propagandístico	propagandistic
eliminatorio	eliminatori
equívoco	equivoc
inspector	inspectante
discrecional	discretional
bronceado	imbrunite
impertinente	impertinente
vivaz	vivace
cerámico	ceramic
dubitativo	dubitative
fulgurante	fulgurante
hemisférico	hemispheric
persuasivo	persuasive
definitorio	definitori
psicótico	psychotic
inclemente	inclemente
mafioso	mafiose
rugoso	rugose
boreal	boreal
granadino	granadin
moro	maure
orbital	orbital
vanidoso	vanitose
avícola	avicole
dulzón	dulceastre
administrador	administrante
incluyente	includente
intranquilo	inquiete
pelirrojo	de capillos rubie
soslayo	oblique
climatológico	climatologic
acumulativo	accumulative
etílico	ethylic
imperialista	imperialista
perdurable	perdurabile
intravenoso	intravenose
evaluador	evalutante
finalista	finalista
refractario	refractari
insulso	insipide
pertinaz	pertinace
inconmensurable	incommensurabile
multidisciplinar	multidisciplinari
receptor	recipente
reparador	reparante
afroamericano	afroamerican
equiparable	equabile
inacabable	interminabile
áureo	auree
gacho	mal
incoherente	incoherente
llevadero	supportabile
ruinoso	ruinose
anal	anal
chato	platte
misionero	missionarii
rupestre	rupestre
inmaduro	immatur
victoriano	victorian
bullicioso	turbulente
distribuidor	distribuente
justiciero	justicier
mayúsculo	majuscule
ralo	scarce
benévolo	benevole
gestacional	gestational
engorroso	fastidiose
insufrible	insuffribile
circulante	circulante
desvalido	inope
opresivo	oppressive
profético	prophetic
raudo	rapide
accesorio	accessori
allegado	allegate
puntero	de puncta
sabedor	sapente
antrópico	anthropic
audible	audibile
lacónico	laconic
parental	parental
proletario	proletari
compungido	compungite
biliar	biliar
postrero	ultime
irrevocable	irrevocabile
lustroso	lustrose
paceño	pacenian
hosco	grunnion
luso	lusitan
pudiente	pudente
reivindicativo	revindicative
secuencial	sequential
tamaño	tante
venerable	venerabile
claudia	claudie
desesperante	desperante
microbiológico	microbiologic
ateo	athee
escarpado	scarpate
imborrable	indelebile
representante	representante
contencioso	contentiose
empedernido	inveterate
fraterno	fraterne
incontrolado	incontrolate
malhumorado	de mal humor
ocre	ochre
reversible	reversibile
fastuoso	fastuose
improcedente	infundate
individualista	individualista
inspirador	inspirante
parco	breve
tolerable	tolerabile
unipersonal	unipersonal
aspirante	aspirante
conexo	connexe
honroso	honorabile
intocable	intoccabile
discontinuo	discontinue
exultante	exultante
opulento	opulente
palpitante	palpitante
insomne	insomne
sancionador	sanctionante
artesano	artisan
fraternal	fraternal
pasmoso	pasmante
sobrecogedor	espaventose
trófico	trophic
valorativo	valutative
infranqueable	insurmountable
aeroportuario	aeroportuari
comprometedor	compromittente
irrefrenable	irrefrenabile
golpista	putschista
mórbido	morbide
sustituto	sustituto
agobiado	supercargate
capilar	capillar
gestor	gerente
huraño	insocial
papal	papal
patagónico	patagonian
predeterminado	predeterminate
editor	editori
populoso	populose
vaticano	vatican
mustio	apathic
patricio	patricie
reticente	reticente
demencial	demential
esclavo	sclave
colegial	collegial
gestual	gestual
glacial	glacial
impermeable	impermeabile
retroactivo	retroactive
titánico	titanic
zoológico	zoologic
chocante	choccante
fidedigno	digne de fide
oneroso	onerose
pletórico	plethoric
chií	shiita
deshabitado	inhabitate
inexpresivo	inexpressive
maderero	ligner
sedoso	setose
voluptuoso	voluptuose
genealógico	genealogic
laborista	laborista
satírico	satiric
corrosivo	corrosive
cuadrangular	quadrangular
desalmado	inhuman
infatigable	infatigabile
inteligible	intelligibile
linfático	lymphatic
sintáctico	syntactic
caraqueño	de Caracas
coralino	corallin
indolente	indolente
carnívoro	carnivore
gaditano	gaditan
plasmático	plasmatic
novelesco	romancesc
augusto	auguste
electivo	elective
falangista	falangista
apuesto	apponite
ignoto	incognite
mural	mural
pomposo	pompose
desnutrido	malnutrite
gutural	guttural
inconexo	incoherente
indeseado	indesirate
permisivo	permissive
providencial	providential
acuciante	acutiante
mulato	mulatte
plegable	plicabile
sociodemográfico	sociodemographic
efusivo	effusive
genómico	genomic
indiscreto	indiscrete
loable	laudabile
axiológico	axiologic
estrafalario	extravagante
geotérmico	geothermic
melodramático	melodramatic
obscuro	obscur
pavoroso	pavorose
perceptivo	perceptive
acusador	accusante
alfabético	alphabetic
epidémico	epidemic
fehaciente	fidabile
improductivo	improductive
piramidal	pyramidal
aristotélico	aristotelic
longevo	longeve
novato	novicie
resbaladizo	glissante
barbudo	barbute
valeroso	valutate
asegurador	assecurante
costumbrista	costumbrista
exógeno	exogene
isleño	insulari
prieto	tense
escandinavo	scandinave
redentor	redimente
sensitivo	sensitive
cantante	cantante
impoluto	impollute
insustituible	insubstituibile
perpendicular	perpendicular
provisorio	provisori
brumoso	brumose
filarmónico	philharmonic
jubiloso	jubilante
subtropical	subtropical
bizantino	byzantin
indecente	indecente
ondulante	undulante
punk	punk
repulsivo	repulsive
autodidacta	autodidacte
malsano	malsan
mortuorio	mortuari
nauseabundo	nauseabunde
pensante	pensante
convergente	convergente
sacerdotal	sacerdotal
carioca	carioca
manchego	manchese
nómada	nomade
ajado	maltractate
caudaloso	abundante
correctivo	corrective
dificultoso	difficile
modular	modular
soñador	soniante
aritmético	arithmetic
transmisor	transmittente
motivador	motivante
proverbial	proverbial
agronómico	agronomic
apetitoso	appetitose
astral	astral
fundamentalista	fundamentalista
laberíntico	labyrinthic
ayuno	jejun
inaudible	inaudibile
pétreo	petrose
septentrional	septentrional
tétrico	lugubre
abnegado	abnegate
otoñal	autumnal
altanero	altiate
iconográfico	iconographic
irritable	irritabile
sobreviviente	supervivente
talibán	taliban
idealista	idealista
perecedero	peribile
senil	senil
vendedor	vendente
instructor	instruente
insultante	insultante
intercambiable	intercambiabile
virulento	virulente
amorfo	amorphe
hediondo	fetide
receloso	diffidente
torero	torero
vaporoso	vaporose
angelical	angelical
antimicrobiano	antimicrobic
inexperto	inexperte
depredador	depredante
fantasioso	phantasiose
incendiario	incendiari
ostensible	ostensibile
poroso	porose
separatista	separatista
apócrifo	apocryphe
jadeante	anhelante
soso	insipide
suburbano	suburban
trasnochado	superpassate
perimetral	perimetral
aterciopelado	villutate
atrayente	attrahente
evitable	evitabile
imbatible	imbattibile
isquémico	ischemic
mordaz	mordace
prescindible	prescindibile
sectario	sectari
entendible	intendibile
vidrioso	vitrose
violeta	violette
tendente	tendente
celebrado	celebrate
indomable	indomabile
intolerante	intolerante
pastoso	pastose
traicionero	traitive
accionario	actionari
cansino	enoiose
simplista	simplista
costeño	costier
orquestal	orchestral
preceptivo	preceptive
prudencial	prudential
punitivo	punitive
tambaleante	balanciante
bizarro	bizarre
destructor	destrutive
enzimático	enzymatic
ginecológico	gynecologic
nigeriano	nigerian
profuso	profuse
enjuto	magre
cartográfico	cartographic
femenil	feminin
predictivo	predictive
sedimentario	sedimentari
siciliano	sicilian
apestoso	fetide
edilicio	constructive
etarra	membro de ETA
pedregoso	petrose
perdedor	perdente
sensacionalista	sensationalista
vengativo	vengiative
afro	afro
contemplativo	contemplative
antidemocrático	antidemocratic
incisivo	incisive
materialista	materialista
pascual	paschal
estacionario	stationari
foliar	foliar
glaciar	glaciari
crepuscular	crepuscular
elegible	eligibile
inconsistente	inconsistente
caritativo	caritative
estudioso	studiose
pacifista	pacifista
cazador	chassante
indecible	indicibile
ovino	ovin
permeable	permeabile
prófugo	fugitive
clasista	classista
irreductible	irreductibile
perinatal	perinatal
trepidante	trepidante
argelino	algerian
baboso	bavose
futbolero	footballista
histriónico	histrionic
incontestable	incontestabile
napoleónico	napoleonic
demostrable	demonstrabile
inquisitivo	inquisitive
intachable	irreprochabile
cano	grisastre
consumista	consumerista
lastimero	lamentose
servil	servil
contingente	contingente
neurótico	neurotic
norcoreano	nordcorean
agroforestal	agroforestal
consultor	consultive
desalentador	discoragiante
bestial	bestial
quiteño	de Quito
saudí	saudi
sociable	sociabile
taquillero	succedite
termoeléctrico	thermoelectric
impensado	impensate
casto	caste
despistado	misguidate
embarazoso	embarassose
espiral	spiral
esquelético	skeletic
impresionista	impressionista
incaico	inca
perspicaz	perspicace
premonitorio	premonitori
sustitutivo	substitutive
fosforescente	phosphorescente
introductorio	introductori
oleaginoso	oleaginose
proteccionista	protectionista
coetáneo	coetanee
críptico	cryptic
degradante	degradante
diocesano	diocesan
decrépito	decrepite
protocolario	protocollar
quebradizo	fragile
tibetano	tibetan
conspicuo	conspicue
demagógico	demagogic
distributivo	distributive
fibroso	fibrose
incongruente	incongruente
mugriento	immunde
señor	senior
verídico	veridic
meloso	mellose
rodante	rodante
silente	silente
exigible	exigibile
expresionista	expressionista
generalista	generalista
hidratante	hydratante
prostático	prostatic
calmo	calme
doctrinal	doctrinal
epiléptico	epileptic
proactivo	proactive
arbustivo	arbustive
divisorio	divisori
irrisorio	irrisori
léxico	lexical
psicoanalítico	psychoanalytic
arisco	hostil
espurio	spurie
fastidioso	fastidiose
somático	somatic
alcista	altista
atávico	atavic
celta	celta
diagonal	diagonal
fugitivo	fugitive
paradisíaco	paradisiac
usuario	usator
antisocial	antisocial
bucólico	bucolic
indefinible	indefinibile
semestral	semestral
translúcido	translucite
agonizante	agonisante
biogeográfico	biogeographic
centralista	centralista
comprador	comprante
cítrico	citric
telemático	telematic
admisible	admissibile
autista	autista
consustancial	consubstantial
fantasmagórico	phantasmagoric
fiscalizador	fiscalisante
mutual	mutual
demandante	demandante
emérito	emerite
leñoso	lignose
playero	de plagia
prepotente	prepotente
homeopático	homeopathic
pretérito	preterite
veneciano	venetian
acepto	accolligite
aerodinámico	aerodynamic
idiomático	idiomatic
lascivo	lascive
orientador	orientante
somnoliento	somnolente
cinético	cinetic
escrupuloso	scrupulose
positivista	positivista
radioeléctrico	radioelectric
resonante	resonante
desequilibrado	disequilibrate
murciano	murcian
módico	modic
oligárquico	oligarchic
cortesano	cortesan
conservacionista	ambientalista
expiatorio	expiatori
seminal	seminal
tectónico	tectonic
antipático	antipathic
irreconciliable	irreconciliabile
luchador	luctante
oceanográfico	oceanographic
pantanoso	paludose
precavido	caute
presto	preste
puñetero	putan
explicable	explicabile
grasiento	grasse
legible	legibile
láctico	lactic
mortecino	moriente
paraestatal	parastatal
procesador	processante
rutilante	rutilante
contestatario	contestante
impuro	impur
incoloro	incolor
lesbiano	lesbian
extrajudicial	extrajudicial
importador	importatori
maderable	lignose
biótico	biotic
conducente	conducente
cromosómico	chromosomic
mesiánico	messianic
acreedor	creditor
antropométrico	anthropometric
culposo	culpabile
ortográfico	orthographic
sabatino	de sabbato
inconfesable	inconfessabile
inerme	inerme
multiplicador	multiplicante
prevalente	prevalente
redundante	redundante
sopero	de suppa
atronador	assurdante
beligerante	belligerente
catastral	catastral
famélico	famelic
alicantino	alicantin
cenital	zenital
coercitivo	coercitive
indonesio	indonesian
lila	lilac
asmático	asthmatic
autoinmune	autoimmun
epistolar	epistolari
habilidoso	habile
inescrupuloso	inscrupulose
nimio	nimie
pirotécnico	pyrotechnic
prosaico	prosaic
triunfador	triumphante
extraoficial	extraofficial
génico	genic
ortopédico	orthopedic
ovárico	ovaric
trasandino	transandin
delincuencial	criminal
escenográfico	scenographic
invaluable	invalutabile
licenciado	licentiate
raquítico	rhachitic
despótico	despotic
fervoroso	fervente
omnipotente	omnipotente
punible	punibile
soportable	supportabile
indestructible	indestructibile
calizo	calcari
lívido	livide
transgresor	transgressive
escarlata	scarlatin
heredero	herede
regenerativo	regenerative
fétido	fetide
parasitario	parasitari
vivencial	experiential
andante	camminante
galante	galante
radiológico	radiologic
ambivalente	ambivalente
anárquico	anarchic
apático	apathic
ilógico	illogic
laxo	laxe
lerdo	lente
pérsico	persic
servicial	servicial
vigués	de Vigo
condenatorio	condemnatori
insoslayable	inevitabile
sustancioso	substantial
desgarbado	disgratiose
extrovertido	extrovertite
incólume	indemne
pluralista	pluralista
plurinacional	plurinational
resolutivo	resolutive
donostiarra	de San Sebastián
fogoso	focose
insano	insan
indisoluble	indissolubile
inexacto	inexacte
peyorativo	pejorative
séptico	septic
exorbitante	exorbitante
impar	impar
diferenciador	differentiante
paritario	paritari
vitivinícola	vitivinicole
disparado	disparate
engreído	presumptuose
inanimado	inanimate
olfativo	olfactive
sobrehumano	superhuman
pestilente	pestilente
polifacético	multifacetic
sérico	seric
tailandés	thailandese
caprino	caprin
concomitante	concomitante
cántabro	cantabric
detestable	detestabile
intransigente	intransigente
reiterativo	reiterative
sideral	sideral
subcutáneo	subcutanee
riojano	de La Rioja
supersticioso	superstitiose
jesuítico	jesuitic
búlgaro	bulgare
eclesial	ecclesial
lujurioso	luxuriose
aceitero	oleic
doliente	dolente
donante	donante
encomiable	encomiabile
monográfico	monographic
ojeroso	de palpebras inferior obscur
brasilero	brasilian
coruñés	de La Coruña
impopular	impopular
lacustre	lacustre
poseedor	possedente
racionalista	rationalista
antológico	anthologic
antropogénico	anthropogenic
clerical	clerical
multisectorial	multisectorial
soez	grossier
arcilloso	argillose
eréctil	erectile
fabril	manufacturari
frigorífico	frigorific
heleno	hellenico
impagable	impagabile
laborable	laborabile
pericial	de expertise
proselitista	proselytista
renuente	reluctante
demostrativo	demonstrative
falaz	fallace
grandilocuente	grandiloquente
indemne	indemne
malévolo	malevole
observacional	observational
pecaminoso	peccaminose
confesional	confessional
inestimable	inestimabile
inexpugnable	inexpugnabile
partícipe	participe
aislante	insulante
homicida	homicida
sanguinolento	sanguinolente
terminante	terminante
catire	blonde
filantrópico	philanthropic
indómito	indomate
plomizo	plumbee
saltón	saltante
traslúcido	translucide
ilegible	illegibile
iniciático	initiatic
constitucionalista	constitutionalista
derechista	derectista
disciplinar	disciplinari
displicente	disdignose
prevaleciente	prevalente
probatorio	probatori
provisto	proviste
fumador	fumante
orondo	ronde
impúdico	impudic
neurálgico	neuralgic
rock	rock
tumultuoso	tumultuose
endocrino	endocrin
insalubre	insalubre
operatorio	operatori
angélico	angelic
geofísico	geophysic
metalúrgico	metallurgic
rencoroso	rancorose
enrevesado	convolute
flácido	flaccide
introvertido	introvertite
oval	oval
quechua	quechua
unívoco	univoc
circunspecto	circumspecte
doctrinario	doctrinari
evocador	evocante
indivisible	indivisibile
viajero	viagiante
vitamínico	vitaminic
abyecto	abjecte
distal	distal
guipuzcoano	guipuzcoan
intervencionista	interventionista
neural	neural
agrónomo	agronomic
biodegradable	biodegradabile
ecuménico	ecumenic
goloso	gulose
inabarcable	inimbraciabile
intimista	intimista
lechoso	lactose
manipulador	manipulante
demente	demente
irrespetuoso	irreverente
obtuso	obtuse
petroquímico	petrochimic
bastardo	bastarde
grácil	gracile
impertérrito	intrepide
insidioso	insidiose
violáceo	violacee
florentino	florentin
atemporal	atemporal
copero	del campionato
inalienable	inalienabile
irrecuperable	irrecuperabile
lacerante	lacerante
marital	marital
solapado	occultive
tramposo	dupante
ateniense	atheniese
ceremonioso	ceremoniose
formador	formante
pecoso	lentiginose
suplicante	supplicante
anti	anti
balsámico	balsamic
bubi	bubi
estrambótico	extravagante
galopante	galopante
notarial	notarial
vizcaíno	biscayan
bicolor	bicolor
labial	labial
oscilante	oscillante
paternalista	paternalista
trabajoso	laboriose
ubicuo	ubique
compositivo	compositive
consumidor	consumitori
decoroso	decorose
fabricante	fabricante
floreciente	florente
aeroespacial	aerospatial
exportable	exportabile
firmante	firmante
guineano	guinean
juicioso	judiciose
límpido	limpide
narcisista	narcissista
ceniciento	cinerose
diurético	diuretic
ocurrente	occurrente
esponjoso	spongiose
irrestricto	sin restriction
mozo	juvene
predial	immobiliari
recalcitrante	recalcitrante
interestelar	interstellar
terráqueo	terraquee
adaptable	adaptabile
evasivo	evasive
innombrable	innominabile
deshonesto	dishoneste
emancipador	emancipante
lagunero	lagunar
mimético	mimetic
tiroideo	thyroide
cónico	conic
enterado	informate
helénico	hellenic
imponible	imponibile
justicialista	justicialista
lapidario	lapidari
recatado	modeste
retrógrado	retrograde
tubular	tubular
tutelar	tutelar
vietnamita	vietnamita
intrigante	intrigante
mañanero	matinal
sempiterno	sempiterne
sito	site
suní	sunnita
desdeñoso	disdignose
gregoriano	gregorian
incomprendido	incomprendite
oftalmológico	ophthalmologic
putrefacto	putrefacte
truculento	truculente
polivalente	polyvalente
cóncavo	concave
enciclopédico	encyclopedic
gelatinoso	gelatinose
indiscutido	incontestate
maníaco	maniac
tórrido	torrite
heterodoxo	heterodoxe
modélico	modello
perseverante	perseverante
quedo	quiete
senegalés	senegalese
supervisor	supervidente
teologal	theologal
facultativo	facultative
ladrón	latron
supranacional	supranational
invulnerable	invulnerabile
oxigenado	oxygenate
pacho	insensibile
serial	serial
decano	decan
descontento	discontente
erizado	ericiate
monopólico	monopolista
voluntarioso	obstinate
armenio	armenie
burlesco	burlesc
romo	obtuse
coral	choral
cretácico	cretacee
dantesco	dantesc
equino	equin
mallorquín	majorchin
aguado	aquate
auspicioso	auspiciose
belicoso	bellicose
concienzudo	conscientiose
escatológico	eschatologic
esclarecedor	exclarante
impulsor	impulsante
intransferible	intransferibile
ordenador	ordinante
recesivo	recessive
vívido	vivite
campal	campal
carbónico	carbonic
negociable	negotiabile
tuerto	torte
bisexual	bisexual
contrastante	contrastante
corrector	correctori
kurdo	kurde
napolitano	napolitan
rebuscado	perquirite
salesiano	salesian
semiótico	semiotic
anguloso	angulose
interdependiente	interdependente
muestral	de monstras
reciclable	recyclabile
socarrón	sarcastic
tabacalero	de tabaco
trunco	truncate
desdentado	edentate
fofo	molle
jurásico	jurassic
neolítico	neolithic
noctámbulo	noctambule
faltante	mancante
luctuoso	lugubre
potosino	de Potosí
primoroso	excellente
sádico	sadic
vagabundo	vagabunde
craneal	cranial
endemoniado	demoniac
operístico	operistic
rotatorio	rotatori
sucinto	succincte
ultra	ultra
xenófobo	xenophobe
calcáreo	calcaree
desdeñable	disdignabile
gaucho	gaucho
gestante	gestante
habilitante	habilitante
motivacional	motivational
significante	significante
situacional	situational
germánico	germanic
neurodegenerativo	neurodegenerative
tirano	tyrannic
imperecedero	imperibile
libidinoso	libidinose
nitrogenado	azotate
observador	observatori
rectal	rectal
vírico	viral
bacteriológico	bacteriologic
bilbaíno	de Bilbao
calculador	calculante
castizo	purista
convertible	convertibile
demoníaco	demoniac
doloso	intentional
enconado	violente
esquizofrénico	schizophrenic
esterlina	sterling
lesivo	damnose
non	non
pancho	tranquille
parásito	parasite
blancuzco	blancastre
confeso	confesse
divulgativo	divulgative
díscolo	indocile
fonético	phonetic
gubernativo	governamental
registrador	registrante
sepulcral	sepulcral
dentado	dentate
hermenéutico	hermeneutic
insoluble	insolubile
monolítico	monolithic
mueble	mobile
redistributivo	redistributive
vergonzante	vergoniose
analgésico	analgesic
extremado	extreme
mutante	mutante
negruzco	nigrastre
reductor	reducente
zen	zen
acrobático	acrobatic
acucioso	dilligente
cavernoso	cavernose
incidental	incidental
inválido	invalide
lipídico	lipidic
pueblerino	villan
rastrero	reptive
cadavérico	cadaveric
injustificable	injustificabile
milimétrico	millimetric
quejumbroso	planctive
ranchero	rancher
hilarante	hilarante
homo	homosexual
mediador	mediatori
concurrente	concurrente
consuetudinario	consuetudinari
crespo	crispe
envidioso	invidiose
incompetente	incompetente
inmerecido	immeritate
inoperante	inoperante
intrauterino	intrauterin
maléfico	malefic
paranormal	paranormal
posesivo	possessive
chispeante	scintillante
magnánimo	magnanime
rapaz	rapace
subregional	subregional
yucateco	yucatec
anaeróbico	anaerobic
animoso	coragiose
cartesiano	cartesian
gripal	grippal
interdisciplinar	interdisciplinar
interoceánico	interoceanic
miope	myope
sesudo	sage
tentativo	tentative
canelo	cannelle
fatuo	fatue
freudiano	freudian
inconforme	inconforme
pleistoceno	pleistocen
rechoncho	truncate
reumático	rheumatic
vallisoletano	de Valladolid
blaugrana	blaugrana
contrarrevolucionario	contrarevolutionario
descendiente	descendente
elogioso	elogiose
palaciego	palatian
superviviente	supervivente
ufano	presumptuose
bronquial	bronchial
exasperante	exasperante
inexplorado	inexplorate
majo	gratiose
pasado	passate
corpóreo	corporee
halagüeño	adulante
optativo	optative
parlante	parlante
remanente	remanente
especular	specular
estoico	stoic
faraónico	pharaonic
forrajero	de forrage
hierático	hieratic
infausto	infauste
infinitesimal	infinitesimal
melodioso	melodiose
temperamental	temperamental
caleño	de Cali
cobrizo	cuperose
condal	contal
globalizador	globalisatori
insinuante	insinuante
magrebí	maghrebin
predispuesto	predisponite
sincrónico	synchronic
berlinés	berlinese
jorobado	gibbose
subalterno	subalterne
arquetípico	archetypic
calificador	qualificante
cantonal	cantonal
explorador	explorante
lampiño	glabre
bidimensional	bidimensional
biofísico	biophysic
convexo	convexe
organoléptico	organoleptic
poliinsaturado	polyinsaturate
prístino	pristine
risible	risibile
artificioso	artificiose
descartable	eliminabile
fatigoso	fatigante
auditorio	auditori
bruno	brun
chic	chic
subliminal	subliminal
parecido	similar
axial	axial
colorrectal	colorectal
empático	empathic
permisible	permissibile
ruin	vil
tiránico	tyrannic
asertivo	assertive
coactivo	coactive
indulgente	indulgente
ladino	ladin
profiláctico	prophylactic
promiscuo	promiscue
subsecuente	subsequente
tardo	tarde
alcanzable	attingibile
antirrábico	antirabic
castrista	castrista
diarreico	diarrheic
meñique	minime
oficioso	officiose
procedimental	procedural
rasante	rasante
bipartidista	bipartitista
inquisidor	inquirente
verificable	verificabile
benemérito	meritose
controlador	controlante
estalinista	stalinista
inescrutable	inscrutabile
intemporal	intemporal
lozano	vigorose
rollizo	rotunde
virginal	virginal
amniótico	amniotic
avispado	active
desvaído	debile
evaluativo	evalutative
extemporáneo	extemporanee
extraescolar	extracurricular
primerizo	debutante
púbico	pubic
soberanista	soveranista
abarcador	imbraciante
aniversario	anniversari
cinegético	cynegetic
docto	docte
inflamable	inflammabile
psicodélico	psychedelic
amatorio	amatori
apoteósico	apotheosic
axilar	axillar
deleznable	friabile
gustativo	gustative
inmisericorde	impietose
justificable	justificabile
polifónico	polyphonic
unifamiliar	unifamiliar
crédulo	credule
hirsuto	hirsute
titubeante	titubante
carnavalesco	carnavalesc
paleolítico	paleolithic
alucinógeno	hallucinogene
articular	articular
fragante	fragrante
pendenciero	contentiose
acuícola	aquicole
aluvial	alluvial
cadencioso	cadentiate
inexcusable	inexcusabile
abrasador	comburente
antiimperialista	antiimperialista
autodestructivo	autodestructive
aviario	aviari
bávaro	bavare
cegador	cecante
deductivo	deductive
inmanente	immanente
llorón	plorante
museográfico	museographic
parmesano	parmesan
rioplatense	rioplatense
siniestrado	sinistrate
transportador	transportante
vandálico	vandalic
viario	viari
cubista	cubista
tercermundista	tertiemundista
alicaído	abattite
ecuánime	equanime
gallardo	gaillard
grasoso	grassose
inalterado	inalterate
lésbico	lesbic
negligente	negligente
neumático	pneumatic
tozudo	obstinate
acusatorio	accusatori
chulo	pompose
correlativo	correlative
disuasorio	dissuasive
inclinado	inclinate
insatisfactorio	insatisfactori
retador	defiante
trasnacional	transnational
turquesa	turchese
yugoslavo	yugoslave
epistémico	epistemic
intermediario	intermediari
afecto	affectionate
alavés	de Álava
antivirus	antivirus
avasallador	subjugante
desangelado	disangelate-
nobiliario	nobiliari
concesionario	concessionari
contratante	contractante
medible	mensurabile
recolector	recolligente
sembradío	seminabile
alcalino	alcalin
atacante	attaccante
auricular	auricular
cosmológico	cosmologic
edificante	edificante
aleccionador	insctructive
fausto	fauste
internacionalista	internationalista
recoleto	recolligite
subacuático	subaquatic
unificador	unificante
antisemita	antisemitic
mensajero	messager
tirante	tirante
utilizable	utilisabile
ampuloso	ampullose
colorista	coloristic
escultural	sculptural
exiliado	exiliate
granate	granate
altitudinal	altitudinal
competencial	de competentia
convulsivo	convulsive
cáustico	caustic
denigrante	denigrante
efervescente	effervescente
huevón	colion
pancreático	pancreatic
senatorial	senatorial
venéreo	veneree
antidepresivo	antidepressive
deportista	sportista
redactor	redactante
tipográfico	typographic
anotador	annotante
cantor	cantante
centrífugo	centrifuge
fiduciario	fiduciari
hiperactivo	hyperactive
hispanohablante	hispanophone
paralizante	paralysante
